Name/Description,,,Qty,Price,Unit Price
Aluminium Spacer,,,20,9.99,0.4995
M5 40mm Machine Screw,,,25,6.74,0.2696
M5 Lock Nuts,,,35,5.23,0.1494285714
M3 40mm Screw,,,15,2,0.1333333333
POM Wheels,,,10,9.99,0.999
Logitech Webcam,,,2,23.5,11.75
GT2 Pulley,,,4,17.98,4.495
Carrier Drag Chain,,,1,13.89,13.89
GT2 Timing Belt,,,1,11.99,11.99
1220mm 2020 VSlot Aluminium Extrusions,,,4,45.99,11.4975
Corner Plate,,,12,19.99,1.665833333
1000mm 2020VSlot Aluminium Extrusions,,,4,39.99,9.9975
TB6600 Stepper Motor Driver,,,2,19.18,9.59
T Slide Nuts,,,100,14.59,0.1459
23MM Nema 17 Stepper Motor,,,3,19.18,6.393333333
40MM Nema 17 Stepper Motor,,,1,12.99,12.99
USB Hub,,,1,9.99,9.99
USB to Mini B Cable,,,2,4.99,2.495
,,,Total,288.2,